issuer,"total_certs","risky_certs","risk_percent",tier,zscore
"/C=DE/ST=Nordrhein-Westfalen/L=Kleve/O=Hochschule Rhein-Waal/CN=HSRW CA/emailAddress=pki@hsrw.eu",2,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/L=Koeln/O=Katholische Fachhochschule gGmbH/OU=IuK/CN=KatHO NRW CA - G01/emailAddress=ca@katho-nrw.de",3,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/L=Koeln/O=Max-Planck-Institut fuer Zuechtungsforschung/OU=SUSAN/CN=MPIZ CA/emailAddress=ca@mpiz-koeln.mpg.de",10,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/L=Koeln/O=Rheinische Fachhochschule Koeln gGmbH/OU=Rechenzentrum/CN=RFH Koeln CA/emailAddress=pki@rfh-koeln.de",23,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/L=Krefeld/O=Hochschule Niederrhein/OU=Datenverarbeitungszentrale/CN=Hochschule Niederrhein CA - G01/emailAddress=pki@hs-niederrhein.de",10,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/L=Muenster/O=Fachhochschule Muenster/OU=Datenverarbeitungszentrale/CN=FH Muenster CA - G01/emailAddress=ca@fh-muenster.de",1,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/L=Witten/O=Private Universitaet Witten\\/Herdecke gGmbH/OU=BIT/CN=Uni Witten\\/Herdecke CA - G01/emailAddress=ca@uni-wh.de",1,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/L=Wuppertal/O=Bergische Universitaet Wuppertal/OU=ZIM/CN=Uni-Wuppertal CA/emailAddress=pki@uni-wuppertal.de",5,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Nordrhein-Westfalen/O=Hochschule Bonn-Rhein-Sieg/CN=Hochschule Bonn-Rhein-Sieg CA - G01/emailAddress=pki@hochschule-bonn-rhein-sieg.de",6,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Rheinland-Pfalz/L=Mainz/O=Johannes Gutenberg-Universitaet Mainz/CN=JGU CA - G01/emailAddress=jgu-ca@uni-mainz.de",8,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Rheinland-Pfalz/L=Mainz/O=Universitaetsmedizin der Johannes Gutenberg-Universitaet Mainz/CN=UNIVERSITAETSmedizin. Mainz - CA - G01/emailAddress=ca@unimedizin-mainz.de",2,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Saarland/L=Saarbruecken/O=Universitaet des Saarlandes/CN=CA Universitaet des Saarlandes/emailAddress=ca@rz.uni-saarland.de",45,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Saarland/L=Wadern/O=Schloss Dagstuhl - LZI GmbH/OU=IT-Abteilung/CN=Schloss Dagstuhl - LZI GmbH CA - G01/emailAddress=pki@dagstuhl.de",5,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen-Anhalt/L=Halle/O=Martin-Luther-Universitaet Halle-Wittenberg/OU=URZ/CN=Universitaet Halle CA/emailAddress=pki@uni-halle.de",3,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen-Anhalt/L=Magdeburg/O=Hochschule Magdeburg Stendal (FH)/CN=HS Magdeburg Stendal (FH) CA - G01/emailAddress=pki@hs-magdeburg.de",3,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen-Anhalt/L=Merseburg/O=Hochschule Merseburg (FH)/OU=Rechenzentrum/CN=HS Merseburg CA/emailAddress=pki@hs-merseburg.de",1,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen/L=Dresden/O=Freistaat Sachsen/OU=Saechsisches Staatsministerium des Innern/CN=Sachsen Global CA/emailAddress=pki@smi.sachsen.de",2,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen/L=Dresden/O=IFW Dresden e.V./CN=IFW Dresden CA/emailAddress=ca@ifw-dresden.de",2,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen/L=Glauchau/O=Berufsakademie Sachsen - Staatliche Studienakademie Glauchau/CN=BA Glauchau CA - G01/emailAddress=admins@ba-glauchau.de",6,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen/L=Leipzig/O=Helmholtz-Zentrum fuer Umweltforschung GmbH - UFZ/OU=WKDV/CN=Helmholtz-Zentrum fuer Umweltforschung GmbH - UFZ CA - G01/emailAddress=wkdv-pki@ufz.de",2,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen/L=Leipzig/O=Hochschule fuer Musik und Theater Leipzig/CN=HMT-LEIPZIG-CA/emailAddress=pki@hmt-leipzig.de",1,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen/L=Leipzig/O=Hochschule fuer Technik, Wirtschaft und Kultur Leipzig/CN=HTWK Leipzig CA/emailAddress=ca@htwk-leipzig.de",7,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Sachsen/L=Mittweida/O=Hochschule Mittweida (FH) - University of Applied Sciences/CN=HTWM CA/emailAddress=pki@htwm.de",11,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Schleswig-Holstein/L=Kiel/O=Universitaet Kiel/OU=Rechenzentrum/CN=Uni Kiel CA - G02/emailAddress=pki@uni-kiel.de",46,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Schleswig-Holstein/L=Luebeck/O=Fachhochschule Luebeck/OU=Rechenzentrum/CN=Fachhochschule Luebeck CA - G01/emailAddress=ca@fh-luebeck.de",5,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Schleswig-Holstein/O=Universitaetsklinikum Schleswig-Holstein/OU=ITSG/CN=Zertifizierungsstelle des UKSH/emailAddress=ca@uk-sh.de",3,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Thueringen/L=Jena/O=Hans-Knoell-Institut (HKI)/CN=HKI Jena CA - G01/emailAddress=ca@hki-jena.de",2,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Thueringen/L=Jena/O=Institut fuer Photonische Technologien e.V./OU=EDV\\/IPHT/CN=IPHT-JENA-CA/emailAddress=ipht-cert@ipht-jena.de",10,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Thueringen/L=Jena/O=Universitaet Jena/CN=Universitaet Jena CA - G01/emailAddress=pki@uni-jena.de",38,"0.0","0.0",tier1,"-0.08"
"/C=DE/ST=Thueringen/L=Nordhausen/O=Fachhochschule Nordhausen/CN=Fachhochschule Nordhausen CA - G01/emailAddress=pki@fh-nordhausen.de",4,"0.0","0.0",tier1,"-0.08"
"/C=DE/organizationIdentifier=VATDE-DE296898382/O=QuoVadis Trustlink Deutschland GmbH/CN=QuoVadis Europe Advanced CA G1",1,"0.0","0.0",tier1,"-0.08"
"/C=DK/O=KMD/OU=KMD-CA/CN=KMD-CA Server/mail=infoca@kmd-ca.dk",1,"0.0","0.0",tier1,"-0.08"
"/C=DK/O=TDC/CN=TDC OCES CA",10,"0.0","0.0",tier1,"-0.08"
"/C=DK/O=TDC/OU=TDC SSL Server CA",19,"0.0","0.0",tier1,"-0.08"
"/C=DK/O=TRUST2408/CN=TRUST2408 OCES CA I",8,"0.0","0.0",tier1,"-0.08"
"/C=DK/O=TRUST2408/CN=TRUST2408 OCES CA II",84,"0.0","0.0",tier1,"-0.08"
"/C=DK/O=TRUST2408/CN=TRUST2408 OCES CA III",317,"0.0","0.0",tier1,"-0.08"
"/C=DK/O=TRUST2408/CN=TRUST2408 OCES Primary CA",3,"0.0","0.0",tier1,"-0.08"
"/C=EE/O=AS Sertifitseerimiskeskus/CN=EE Certification Centre Root CA/emailAddress=pki@sk.ee",19,"0.0","0.0",tier1,"-0.08"
"/C=EE/O=AS Sertifitseerimiskeskus/OU=Sertifitseerimisteenused/CN=KLASS3-SK 2010",40,"0.0","0.0",tier1,"-0.08"
"/C=EE/O=AS Sertifitseerimiskeskus/OU=Sertifitseerimisteenused/organizationIdentifier=NTREE-10747013/CN=KLASS3-SK 2016",14,"0.0","0.0",tier1,"-0.08"
"/C=EE/O=AS Sertifitseerimiskeskus/organizationIdentifier=NTREE-10747013/CN=EID-SK 2016",12,"0.0","0.0",tier1,"-0.08"
"/C=ES/CN=Autoridad de Certificacion Firmaprofesional CIF A62634068",5,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=C\\/ Muntaner 244 Barcelona/CN=Autoridad de Certificacion Firmaprofesional CIF A62634068/emailAddress=ca@firmaprofesional.com",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=MADRID/ST=MADRID/OU=see current address at https:\\/\\/www.camerfirma.com\\/address/OU=AC CAMERFIRMA FOR LEGAL PERSONS - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=AC CAMERFIRMA FOR LEGAL PERSONS - 2016",14,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=MADRID/ST=MADRID/OU=see current address at https:\\/\\/www.camerfirma.com\\/address/OU=AC CAMERFIRMA FOR NATURAL PERSONS - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=AC CAMERFIRMA FOR NATURAL PERSONS - 2016",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=Madrid (see current address at www.camerfirma.com\\/address)/O=AC Camerfirma S.A./serialNumber=A82743287/CN=GLOBAL CORPORATE SERVER",5,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=Madrid/emailAddress=ac@acabogacia.org/O=Consejo General de la Abogacia NIF:Q-2863006I/OU=Autoridad de Certificacion de la Abogacia/CN=ACA - Certificados Corporativos",11,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=Paseo del General Martinez Campos 46 6a planta 28010 Madrid/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados FERN V2",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=Paseo del General Martinez Campos 46 6a planta 28010 Madrid/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados Notariales Corporativos V2",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=Paseo del General Martinez Campos 46 6a planta 28010 Madrid/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados Notariales de Sistemas V2",32,"0.0","0.0",tier1,"-0.08"
"/C=ES/L=Paseo del General Martinez Campos 46 6a planta 28010 Madrid/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados para empleados V2",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC CAMERFIRMA S.A./L=MADRID (Ver en https:\\/\\/www.camerfirma.com\\/address)/OU=AC CAMERFIRMA/serialNumber=A82743287/CN=AC CAMERFIRMA AAPP",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at https:\\/\\/www.camerfirma.com\\/address)/CN=AC Camerfirma - 2009",6,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at https:\\/\\/www.camerfirma.com\\/address)/CN=Camerfirma AAPP - 2012",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at https:\\/\\/www.camerfirma.com\\/address)/CN=Camerfirma Corporate Server - 2009",13,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at https:\\/\\/www.camerfirma.com\\/address)/CN=Camerfirma TSA - 2013",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at https:\\/\\/www.camerfirma.com\\/address)/CN=RACER - 2009",4,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at www.camerfirma.com\\/address)/CN=AC Camerfirma Colombia II - 2015",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at www.camerfirma.com\\/address)/CN=AC Camerfirma Portugal - 2015",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=AC Camerfirma SA/CN=CA Camerfirma Express Corporate Server/serialNumber=A82743287",14,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Catalana de Certificacio (NIF Q-0801176-I)/L=Passatge de la Concepcio 11 08008 Barcelona/OU=Serveis Publics de Certificacio ECV-2/OU=Vegeu https:\\/\\/www.catcert.net\\/verCIC-2  (c)03/OU=Administracions Locals de Catalunya/CN=EC-AL",47,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Catalana de Certificacio (NIF Q-0801176-I)/L=Passatge de la Concepcio 11 08008 Barcelona/OU=Serveis Publics de Certificacio ECV-2/OU=Vegeu https:\\/\\/www.catcert.net\\/verCIC-2 (c)03/OU=Universitats i Recerca/CN=EC-UR",11,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Catalana de Certificacio (NIF Q-0801176-I)/L=Passatge de la Concepcio 11 08008 Barcelona/OU=Serveis Publics de Certificacio/OU=Vegeu https:\\/\\/www.catcert.net\\/verCIC-3 (c)05/OU=Universitat Rovira i Virgili/CN=EC-URV",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Catalana de Certificacio (NIF Q-0801176-I)/OU=Serveis Publics de Certificacio/OU=Vegeu https:\\/\\/www.catcert.net\\/verarrel (c)03/OU=Jerarquia Entitats de Certificacio Catalanes/CN=EC-ACC",4,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988/CN=ANCERT Certificados CGN",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988/CN=ANCERT Corporaciones de Derecho Publico",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados CGN V2",5,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados Notariales V2",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=CONSORCI ADMINISTRACIO OBERTA DE CATALUNYA/OU=Serveis P\\xC3\\xBAblics de Certificaci\\xC3\\xB3/CN=EC-Ciutadania",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Colegio de Registradores de la Propiedad y Mercantiles de Espa\\xC3\\xB1a/OU=Certificado Propio/CN=Registradores de Espa\\xC3\\xB1a - CA Interna",29,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Colegio de Registradores de la Propiedad y Mercantiles de Espa\\xC3\\xB1a/OU=Certificado Propio/CN=Registradores de Espa\\xC3\\xB1a - CA Ra\\xC3\\xADz",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Consejo General de la Abogacia NIF:Q-2863006I/CN=Autoridad de Certificacion de la Abogacia",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Consejo General de la Abogacia/OU=Autoridad de Certificacion de la Abogacia/serialNumber=Q2863006I/CN=ACA - Certificados Corporativos - 2014",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Consejo General de la Abogacia/OU=Autoridad de Certificacion de la Abogacia/serialNumber=Q2863006I/CN=ACA - Trusted Certificates - 2014",15,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=DIRECCION GENERAL DE LA POLICIA/OU=DNIE/CN=AC DNIE 001",15,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=DIRECCION GENERAL DE LA POLICIA/OU=DNIE/CN=AC DNIE 003",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Entrust EU, S.L./organizationIdentifier=VATES-B81188047/CN=Entrust Certification Authority - ES QWAC2",23,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/CN=ISA CA",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=AC APE",10,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=AC RAIZ FNMT-RCM",6,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=CERES/CN=AC Representaci\\xC3\\xB3n",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=CERES/serialNumber=Q2826004J/CN=AC Administraci\\xC3\\xB3n P\\xC3\\xBAblica",940,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=Ceres/CN=AC FNMT Usuarios",11,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=Ceres/organizationIdentifier=VATES-Q2826004J/CN=AC RAIZ FNMT-RCM SERVIDORES SEGUROS",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=Ceres/organizationIdentifier=VATES-Q2826004J/CN=AC SERVIDORES SEGUROS TIPO1",914,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=Ceres/organizationIdentifier=VATES-Q2826004J/CN=AC SERVIDORES SEGUROS TIPO2",169,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT-RCM/OU=Ceres/organizationIdentifier=VATES-Q2826004J/CN=AC Unidades de Sellado de Tiempo",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=FNMT/OU=FNMT Clase 2 CA",41,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Firmaprofesional S.A./OU=Certificados Cualificados/serialNumber=A62634068/CN=AC Firmaprofesional - CUALIFICADOS",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Firmaprofesional S.A./organizationIdentifier=VATES-A62634068/OU=Certificados de un solo uso/CN=AC Firmaprofesional - OTC 2020",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Firmaprofesional S.A./organizationIdentifier=VATES-A62634068/OU=Security Services/CN=AC Firmaprofesional - Secure Web 2022",75,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Firmaprofesional SA/OU=Certificados Digitales para la Administracion Publica/serialNumber=A62634068/CN=AC Firmaprofesional - AAPP",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Generalitat Valenciana/OU=PKIGVA/CN=CAGVA",12,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A. - CIF A-01337260-RMerc.Vitoria-Gasteiz T1055 F62 S8/L=Avda del Mediterraneo Etorbidea 3 - 01010 Vitoria-Gasteiz/OU=AZZ Ziurtagiri publikoa - Certificado publico SCA/CN=EAEko Herri Administrazioen CA - CA AAPP Vascas/emailAddress=Info@izenpe.com",11,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./CN=CA de Certificados SSL EV",11,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./CN=Izenpe.com",7,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./OU=AZZ Ziurtagiri publikoa - Certificado publico SCA/CN=CA Teknikoa - CA Tecnica",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./OU=AZZ Ziurtagiri publikoa - Certificado publico SCA/CN=EAEko HAetako langileen CA - CA personal de AAPP vascas (2)",6,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./OU=BZ Ziurtagiri publikoa - Certificado publico EV/CN=CA de Certificados SSL EV",518,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./OU=NZZ Ziurtagiri publikoa - Certificado publico SCI/CN=Herritar eta Erakundeen CA - CA de Ciudadanos y Entidades (3)",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./OU=NZZ Ziurtagiri publikoa - Certificado publico SCI/CN=Herritar eta Erakundeen CA - CA de Ciudadanos y Entidades (4)",13,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=IZENPE S.A./OU=Ziurtagiri publikoa - Certificado publico/CN=Eusko Jaurlaritzako langileen CA - CA personal Gobierno Vasco",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Sectigo (Europe) SL/CN=Sectigo Qualified Website Authentication CA E35",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Sectigo (Europe) SL/CN=Sectigo Qualified Website Authentication CA Natural R35",5,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=Sectigo (Europe) SL/CN=Sectigo Qualified Website Authentication CA R35",35,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=StartCom CA/CN=StartCom Certification Authority ECC",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=StartCom CA/CN=StartCom Certification Authority G3",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/O=StartCom CA/OU=StartCom Certification Authority/CN=StartCom EV SSL ICA",5,"0.0","0.0",tier1,"-0.08"
"/C=ES/OU=AC CAMERFIRMA/O=AC Camerfirma S.A./serialNumber=A82743287/L=Madrid (see current address at https:\\/\\/www.camerfirma.com\\/address)/CN=Camerfirma Codesign II - 2014",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=BARCELONA/L=BARCELONA/O=IPS Seguridad CA/OU=Certificaciones/CN=IPS SERVIDORES/emailAddress=ips@mail.ips.es",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Barcelona/L=Barcelona (see current address at http:\\/\\/www.anf.es\\/es\\/address-direccion.html )/O=ANF Autoridad de Certificacion/OU=ANF Autoridad Intermedia Tecnicos/emailAddress=info@anf.es/serialNumber=G63287510/CN=ANF High Assurance EV CA1",31,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Barcelona/L=Barcelona (see current address at http:\\/\\/www.anf.es\\/es\\/address-direccion.html )/O=ANF Autoridad de Certificacion/OU=ANF Autoridad Intermedia de Identidad/emailAddress=info@anf.es/serialNumber=G63287510/CN=ANF Assured ID CA1",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Barcelona/L=Barcelona (see current address at http:\\/\\/www.anf.es\\/es\\/address-direccion.html )/O=ANF Autoridad de Certificacion/OU=ANF Clase 1 CA/emailAddress=info@anf.es/serialNumber=G63287510/CN=ANF Global Root CA",4,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Barcelona/L=Barcelona (see current address at https:\\/\\/www.anf.es\\/address\\/)/O=ANF Autoridad de Certificaci\\xC3\\xB3n/OU=ANF Clase 1 CA/serialNumber=G63287510/CN=ANF Server CA",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Barcelona/L=Barcelona/O=IPS Certification Authority s.l./O=general@ipsca.com C.I.F.  B-B62210695/OU=ipsCA CLASEA1 Certification Authority/CN=ipsCA CLASEA1 Certification Authority/emailAddress=general@ipsca.com",17,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/O=ips Certification Authority/OU=Certificaciones/CN=ipsCA Level 1 CA/emailAddress=ipscalevel1@ipsca.com",19,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at https:\\/\\/www.camerfirma.com\\/address/OU=AC CAMERFIRMA COLOMBIA - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=AC CAMERFIRMA COLOMBIA - 2016",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at https:\\/\\/www.camerfirma.com\\/address/OU=AC CAMERFIRMA FOR WEBSITES - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=AC CAMERFIRMA FOR WEBSITES - 2016",29,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at https:\\/\\/www.camerfirma.com\\/address/OU=AC CAMERFIRMA GLOBAL FOR WEBSITES - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=AC CAMERFIRMA GLOBAL FOR WEBSITES - 2016",4,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at https:\\/\\/www.camerfirma.com\\/address/OU=AC CAMERFIRMA PER\\xC3\\x9A - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=AC CAMERFIRMA PER\\xC3\\x9A - 2016",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at https:\\/\\/www.camerfirma.com\\/address/OU=AC CAMERFIRMA TSA - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=AC CAMERFIRMA TSA - 2016",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at www.camerfirma.com\\/address/OU=CHAMBERS OF COMMERCE ROOT - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=CHAMBERS OF COMMERCE ROOT - 2016",4,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at www.camerfirma.com\\/address/OU=GLOBAL CHAMBERSIGN ROOT - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=GLOBAL CHAMBERSIGN ROOT - 2016",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Madrid/L=Madrid/O=IPS Certification Authority s.l. ipsCA/OU=ipsCA/CN=ipsCA Global CA Root/emailAddress=global01@ipsca.com",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Madrid/L=Madrid/O=IPS Certification Authority s.l. ipsCA/OU=ipsCA/CN=ipsCA Main CA Root/emailAddress=main01@ipsca.com",2,"0.0","0.0",tier1,"-0.08"
"/C=ES/ST=Madrid/L=Paseo del General Martinez Campos 46-6a planta/O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988/CN=ANCERT Certificados Notariales de Sistemas",13,"0.0","0.0",tier1,"-0.08"
"/C=ES/emailAddress=ac_camerfirma@camerfirma.com/serialNumber=A82743287/L=Madrid (see current address at www.camerfirma.com\\/address)/O=AC Camerfirma SA/CN=AC Camerfirma",1,"0.0","0.0",tier1,"-0.08"
"/C=ES/emailAddress=ac_camerfirma_cc@camerfirma.com/L=Madrid (see current address at www.camerfirma.com\\/address)/serialNumber=A82743287/O=AC Camerfirma SA/CN=AC Camerfirma Certificados Camerales",3,"0.0","0.0",tier1,"-0.08"
"/C=ES/emailAddress=ca1@firmaprofesional.com/L=C\\/ Muntaner 244 Barcelona/OU=Consulte http:\\/\\/www.firmaprofesional.com/OU=Jerarquia de Certificacion Firmaprofesional/O=Firmaprofesional S.A. NIF A-62634068/CN=AC Firmaprofesional - CA1",45,"0.0","0.0",tier1,"-0.08"
"/C=ES/emailAddress=caracer@camerfirma.com/L=Madrid (see current address at www.camerfirma.com\\/address)/serialNumber=A82743287/O=AC Camerfirma SA/CN=RACER",8,"0.0","0.0",tier1,"-0.08"
"/C=ES/emailAddress=info@camerfirma.com/L=Madrid (see current address at www.camerfirma.com\\/address)/serialNumber=A82743287/OU=http:\\/\\/www.camerfirma.com/O=AC Camerfirma SA/CN=AC Camerfirma Express Corporate Server v3",30,"0.0","0.0",tier1,"-0.08"
