"root_ca","total_certs","risky_certs","risk_percent",tier,zscore
"/C=CN/O=BEIJING CERTIFICATE AUTHORITY/CN=BJCA Global Root CA1",3,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=BEIJING CERTIFICATE AUTHORITY/CN=BJCA Global Root CA2",3,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=CFCA GT CA",28,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=CNNIC/CN=CNNIC ROOT",14,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=China Internet Network Information Center/CN=China Internet Network Information Center EV Certificates Root",14,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=UniTrust/CN=UCA Extended Validation Root",44,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=UniTrust/CN=UCA Global Root",32,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=UniTrust/CN=UCA Root",26,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=WoSign CA Limited/CN=CA WoSign ECC Root",15,"0.0","0.0",tier1,"-0.10"
"/C=CN/O=WoSign CA Limited/CN=Certification Authority of WoSign G2",28,"0.0","0.0",tier1,"-0.10"
"/C=CN/ST=Shanghai/L=Shanghai/O=\xE4\xBA\x9A\xE6\x95\xB0\xE4\xBF\xA1\xE6\x81\xAF\xE7\xA7\x91\xE6\x8A\x80\xEF\xBC\x88\xE4\xB8\x8A\xE6\xB5\xB7\xEF\xBC\x89\xE6\x9C\x89\xE9\x99\x90\xE5\x85\xAC\xE5\x8F\xB8/OU=CT TEST ROOT/CN=TEST ROOT",50,"0.0","0.0",tier1,"-0.10"
"/C=CO/L=Carrera 9 16-21 Bogota/O=Certicamara S.A. Entidad de Certificacion/CN=Certificado Empresarial Clase-A",15,"0.0","0.0",tier1,"-0.10"
"/C=CO/O=Sociedad Cameral de Certificaci\xC3\xB3n Digital - Certic\xC3\xA1mara S.A./CN=AC Ra\xC3\xADz Certic\xC3\xA1mara S.A.",26,"0.0","0.0",tier1,"-0.10"
"/C=CZ/CN=I.CA - Qualified Certification Authority, 09\/2009/O=Prvn\xC3\xAD certifika\xC4\x8Dn\xC3\xAD autorita, a.s./OU=I.CA - Accredited Provider of Certification Services",23,"0.0","0.0",tier1,"-0.10"
"/C=CZ/CN=I.CA - Qualified root certificate/O=Prvn\xC3\xAD certifika\xC4\x8Dn\xC3\xAD autorita, a.s.",2,"0.0","0.0",tier1,"-0.10"
"/C=CZ/CN=I.CA - Standard Certification Authority, 09\/2009/O=Prvn\xC3\xAD certifika\xC4\x8Dn\xC3\xAD autorita, a.s./OU=I.CA - Provider of Certification Services",106,"0.0","0.0",tier1,"-0.10"
"/C=CZ/CN=I.CA - Standard root certificate/O=Prvni certifikacni autorita a.s.",27,"0.0","0.0",tier1,"-0.10"
"/C=CZ/O=Prvn\xC3\xAD certifika\xC4\x8Dn\xC3\xAD autorita, a.s./organizationIdentifier=NTRCZ-26439395/CN=I.CA Root CA\/ECC 12\/2016",1,"0.0","0.0",tier1,"-0.10"
"/C=CZ/O=\xC4\x8Cesk\xC3\xA1 po\xC5\xA1ta, s.p. [I\xC4\x8C 47114983]/CN=PostSignum Root QCA 2",376,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST BR Root CA 1 2020",3,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST EV Root CA 1 2020",4,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST Root CA 3 2013",18,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST Root Class 2 CA 2007",6,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST Root Class 3 CA 2007",17,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=DATEV eG/CN=CA DATEV BT 03",2,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=DATEV eG/CN=CA DATEV INT 01",2,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=DATEV eG/CN=CA DATEV INT 02",2,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=DATEV eG/CN=CA DATEV STD 01",6,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=DATEV eG/CN=CA DATEV STD 02",1,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=DATEV eG/CN=CA DATEV STD 03",2,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=TC TrustCenter GmbH/OU=TC TrustCenter Class 2 CA/CN=TC TrustCenter Class 2 CA II",19,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=TC TrustCenter GmbH/OU=TC TrustCenter Class 3 CA/CN=TC TrustCenter Class 3 CA II",20,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=TC TrustCenter GmbH/OU=TC TrustCenter Class 4 CA/CN=TC TrustCenter Class 4 CA II",2,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=TC TrustCenter GmbH/OU=TC TrustCenter Universal CA/CN=TC TrustCenter Universal CA I",2,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=TC TrustCenter GmbH/OU=TC TrustCenter Universal CA/CN=TC TrustCenter Universal CA II",2,"0.0","0.0",tier1,"-0.10"
"/C=DE/O=TC TrustCenter GmbH/OU=TC TrustCenter Universal CA/CN=TC TrustCenter Universal CA III",7,"0.0","0.0",tier1,"-0.10"
"/C=DE/ST=Hamburg/L=Hamburg/O=TC TrustCenter for Security in Data Networks GmbH/OU=TC TrustCenter Class 1 CA/emailAddress=certificate@trustcenter.de",4,"0.0","0.0",tier1,"-0.10"
"/C=DE/ST=Hamburg/L=Hamburg/O=TC TrustCenter for Security in Data Networks GmbH/OU=TC TrustCenter Class 2 CA/emailAddress=certificate@trustcenter.de",17,"0.0","0.0",tier1,"-0.10"
"/C=DE/ST=Hamburg/L=Hamburg/O=TC TrustCenter for Security in Data Networks GmbH/OU=TC TrustCenter Class 3 CA/emailAddress=certificate@trustcenter.de",17,"0.0","0.0",tier1,"-0.10"
"/C=DK/O=KMD/OU=KMD-CA/CN=KMD-CA Server/mail=infoca@kmd-ca.dk",1,"0.0","0.0",tier1,"-0.10"
"/C=DK/O=TDC Internet/OU=TDC Internet Root CA",19,"0.0","0.0",tier1,"-0.10"
"/C=DK/O=TDC/CN=TDC OCES CA",10,"0.0","0.0",tier1,"-0.10"
"/C=DK/O=TRUST2408/CN=TRUST2408 OCES Primary CA",412,"0.0","0.0",tier1,"-0.10"
"/C=EE/O=AS Sertifitseerimiskeskus/CN=EE Certification Centre Root CA/emailAddress=pki@sk.ee",65,"0.0","0.0",tier1,"-0.10"
"/C=ES/L=C\/ Muntaner 244 Barcelona/CN=Autoridad de Certificacion Firmaprofesional CIF A62634068/emailAddress=ca@firmaprofesional.com",16,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988/CN=ANCERT Certificados CGN",3,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988/CN=ANCERT Certificados Notariales",13,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988/CN=ANCERT Corporaciones de Derecho Publico",1,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados CGN V2",9,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988/CN=ANCERT Certificados Notariales V2",37,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Colegio de Registradores de la Propiedad y Mercantiles de Espa\xC3\xB1a/OU=Certificado Propio/CN=Registradores de Espa\xC3\xB1a - CA Ra\xC3\xADz",31,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Consejo General de la Abogacia NIF:Q-2863006I/CN=Autoridad de Certificacion de la Abogacia",29,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=DIRECCION GENERAL DE LA POLICIA/OU=DNIE/CN=AC RAIZ DNIE",16,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=FNMT/OU=FNMT Clase 2 CA",41,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=Generalitat Valenciana/OU=PKIGVA/CN=Root CA Generalitat Valenciana",12,"0.0","0.0",tier1,"-0.10"
"/C=ES/O=IZENPE S.A. - CIF A-01337260-RMerc.Vitoria-Gasteiz T1055 F62 S8/L=Avda del Mediterraneo Etorbidea 3 - 01010 Vitoria-Gasteiz/CN=Izenpe.com/emailAddress=Info@izenpe.com",12,"0.0","0.0",tier1,"-0.10"
"/C=ES/ST=BARCELONA/L=BARCELONA/O=IPS Seguridad CA/OU=Certificaciones/CN=IPS SERVIDORES/emailAddress=ips@mail.ips.es",19,"0.0","0.0",tier1,"-0.10"
"/C=ES/ST=Barcelona/L=Barcelona (see current address at http:\/\/www.anf.es\/es\/address-direccion.html )/O=ANF Autoridad de Certificacion/OU=ANF Clase 1 CA/emailAddress=info@anf.es/serialNumber=G63287510/CN=ANF Global Root CA",38,"0.0","0.0",tier1,"-0.10"
"/C=ES/ST=Barcelona/L=Barcelona (see current address at https:\/\/www.anf.es\/address\/)/O=ANF Autoridad de Certificaci\xC3\xB3n/OU=ANF Clase 1 CA/serialNumber=G63287510/CN=ANF Server CA",7,"0.0","0.0",tier1,"-0.10"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at www.camerfirma.com\/address/OU=CHAMBERS OF COMMERCE ROOT - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=CHAMBERS OF COMMERCE ROOT - 2016",51,"0.0","0.0",tier1,"-0.10"
"/C=ES/ST=MADRID/L=MADRID/OU=see current address at www.camerfirma.com\/address/OU=GLOBAL CHAMBERSIGN ROOT - 2016/serialNumber=A82743287/organizationIdentifier=VATES-A82743287/O=AC CAMERFIRMA S.A./CN=GLOBAL CHAMBERSIGN ROOT - 2016",12,"0.0","0.0",tier1,"-0.10"
"/C=ES/ST=Madrid/L=Madrid/O=IPS Certification Authority s.l. ipsCA/OU=ipsCA/CN=ipsCA Global CA Root/emailAddress=global01@ipsca.com",39,"0.0","0.0",tier1,"-0.10"
"/C=ES/ST=Madrid/L=Madrid/O=IPS Certification Authority s.l. ipsCA/OU=ipsCA/CN=ipsCA Main CA Root/emailAddress=main01@ipsca.com",2,"0.0","0.0",tier1,"-0.10"
"/C=ES/serialNumber=Q2863006I/O=CONSEJO GENERAL DE LA ABOGACIA/CN=ACA ROOT",16,"0.0","0.0",tier1,"-0.10"
"/C=EU/O=AC Camerfirma SA CIF A82743287/OU=http:\/\/www.chambersign.org/CN=Chambers of Commerce Root",56,"0.0","0.0",tier1,"-0.10"
"/C=EU/O=AC Camerfirma SA CIF A82743287/OU=http:\/\/www.chambersign.org/CN=Global Chambersign Root",10,"0.0","0.0",tier1,"-0.10"
"/C=FI/O=Digi- ja vaestotietovirasto CA/OU=Certification Authority Services/OU=Varmennepalvelut/CN=DVV Gov. Root CA - G3 ECC",21,"0.0","0.0",tier1,"-0.10"
"/C=FI/O=Sonera/CN=Sonera Class2 CA",79,"0.0","0.0",tier1,"-0.10"
"/C=FI/O=Vaestorekisterikeskus CA/OU=Certification Authority Services/OU=Varmennepalvelut/CN=VRK Gov. Root CA - G2",13,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=ANSSI/OU=0002 130007669/CN=IGC\/A AC racine Etat francais",88,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=Certeurope/OU=0002 434202180/CN=Certeurope Root CA 2",5,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=CertiNomis/OU=AC Racine - Root CA/CN=CertiNomis",8,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=Certinomis/OU=0002 433998903/CN=Certinomis - Autorit\xC3\xA9 Racine",60,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=Certplus/CN=Certplus Root CA G1",5,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=Certplus/CN=Certplus Root CA G2",5,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=Certplus/CN=Class 2 Primary CA",563,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=Certplus/CN=Class 3P Primary CA",1,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=Dhimyotis/OU=0002 48146308100036/CN=Certigna Root CA",13,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=KEYNECTIS/OU=ROOT/CN=KEYNECTIS ROOT CA",5,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=OpenTrust/CN=OpenTrust Root CA G1",17,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=OpenTrust/CN=OpenTrust Root CA G2",4,"0.0","0.0",tier1,"-0.10"
"/C=FR/O=OpenTrust/CN=OpenTrust Root CA G3",10,"0.0","0.0",tier1,"-0.10"
"/C=FR/ST=France/L=Paris/O=PM\/SGDN/OU=DCSSI/CN=IGC\/A/emailAddress=igca@sgdn.pm.gouv.fr",182,"0.0","0.0",tier1,"-0.10"
"/C=GB/O=Trustis Limited/OU=Trustis FPS Root CA",59,"0.0","0.0",tier1,"-0.10"
"/C=GB/ST=Greater Manchester/L=Salford/O=Comodo CA Limited/CN=Secure Certificate Services",3,"0.0","0.0",tier1,"-0.10"
"/C=GB/ST=Greater Manchester/L=Salford/O=Comodo CA Limited/CN=Trusted Certificate Services",5,"0.0","0.0",tier1,"-0.10"
"/C=GR/O=ATHENS STOCK EXCHANGE/CN=ATHEX Root CA G2",149,"0.0","0.0",tier1,"-0.10"
"/C=GR/O=Athens Exchange S.A./CN=ATHEX Root CA",120,"0.0","0.0",tier1,"-0.10"
"/C=GR/O=Hellenic Academic and Research Institutions CA/CN=HARICA TLS ECC Root CA 2021",86,"0.0","0.0",tier1,"-0.10"
"/C=HK/O=Hongkong Post/CN=Hongkong Post Root CA",3,"0.0","0.0",tier1,"-0.10"
"/C=HK/ST=Hong Kong/L=Hong Kong/O=Hongkong Post/CN=Hongkong Post Root CA 2",2,"0.0","0.0",tier1,"-0.10"
"/C=HK/ST=Hong Kong/L=Hong Kong/O=Hongkong Post/CN=Hongkong Post Root CA 3",6,"0.0","0.0",tier1,"-0.10"
"/C=HR/O=Financijska agencija/CN=Fina Root CA",566,"0.0","0.0",tier1,"-0.10"
"/C=HU/L=Budapest/O=Microsec Ltd./OU=e-Szigno CA/CN=Microsec e-Szigno Root CA",24,"0.0","0.0",tier1,"-0.10"
"/C=HU/L=Budapest/O=NetLock Halozatbiztonsagi Kft./OU=Tanusitvanykiadok/CN=NetLock Expressz (Class C) Tanusitvanykiado",13,"0.0","0.0",tier1,"-0.10"
"/C=HU/L=Budapest/O=NetLock Halozatbiztonsagi Kft./OU=Tanusitvanykiadok/CN=NetLock Uzleti (Class B) Tanusitvanykiado",15,"0.0","0.0",tier1,"-0.10"
"/C=HU/L=Budapest/O=NetLock Kft./OU=Tan\xC3\xBAs\xC3\xADtv\xC3\xA1nykiad\xC3\xB3k (Certification Services)/CN=NetLock Platina (Class Platinum) F\xC5\x91tan\xC3\xBAs\xC3\xADtv\xC3\xA1ny",7,"0.0","0.0",tier1,"-0.10"
"/C=HU/ST=Hungary/L=Budapest/O=NetLock Halozatbiztonsagi Kft./OU=Tanusitvanykiadok/CN=NetLock Kozjegyzoi (Class A) Tanusitvanykiado",20,"0.0","0.0",tier1,"-0.10"
"/C=IE/O=An Post/OU=Post.Trust Ltd./CN=Post.Trust Root CA",10,"0.0","0.0",tier1,"-0.10"
"/C=IL/O=PersonalID Ltd./OU=Certificate Services/CN=PersonalID Trustworthy RootCA 2011",5,"0.0","0.0",tier1,"-0.10"
"/C=IN/O=India PKI/CN=CCA India 2007",11,"0.0","0.0",tier1,"-0.10"
"/C=IN/O=India PKI/CN=CCA India 2011",51,"0.0","0.0",tier1,"-0.10"
"/C=IN/O=India PKI/CN=CCA India 2014",38,"0.0","0.0",tier1,"-0.10"
"/C=IN/OU=emSign PKI/O=eMudhra Technologies Limited/CN=emSign ECC Root CA - G3",40,"0.0","0.0",tier1,"-0.10"
"/C=IN/OU=emSign PKI/O=eMudhra Technologies Limited/CN=emSign Root CA - G2",2,"0.0","0.0",tier1,"-0.10"
"/C=IT/L=Milano/O=Actalis S.p.A.\/03358520967/CN=Actalis Authentication CA G1",2,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=Cybertrust Japan Co., Ltd./CN=SecureSign Root CA12",7,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=Cybertrust Japan Co., Ltd./CN=SecureSign Root CA14",7,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=Cybertrust Japan Co., Ltd./CN=SecureSign Root CA15",7,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=Japan Certification Services, Inc./CN=SecureSign RootCA1",18,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=Japan Certification Services, Inc./CN=SecureSign RootCA11",21,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=Japanese Government/OU=ApplicationCA",45,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=Japanese Government/OU=GPKI/CN=ApplicationCA2 Root",16,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=LGPKI/CN=Application CA G3 Root",49,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=LGPKI/CN=Application CA G4 Root",6,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=LGPKI/OU=Application CA G2",25,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=SECOM Trust Systems CO.,LTD./CN=Security Communication ECC RootCA1",336,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=SECOM Trust Systems CO.,LTD./CN=Security Communication RootCA3",11,"0.0","0.0",tier1,"-0.10"
"/C=JP/O=SECOM Trust Systems CO.,LTD./OU=Security Communication EV RootCA1",18,"0.0","0.0",tier1,"-0.10"
"/C=KR/O=Government of Korea/OU=GPKI/CN=GPKIRootCA",13,"0.0","0.0",tier1,"-0.10"
"/C=KR/O=Government of Korea/OU=GPKI/CN=Root CA",16,"0.0","0.0",tier1,"-0.10"
"/C=KR/O=KISA/OU=Korea Certification Authority Central/CN=KISA RootCA 3",15,"0.0","0.0",tier1,"-0.10"
"/C=KR/O=KISA/OU=ROOTCA/CN=CertRSA01",11,"0.0","0.0",tier1,"-0.10"
"/C=KR/O=NAVER BUSINESS PLATFORM Corp./CN=NAVER Global Root Certification Authority",159,"0.0","0.0",tier1,"-0.10"
"/C=LT/O=Skaitmeninio sertifikavimo centras/OU=CA ROOT Services/CN=SSC GDL CA Root B",21,"0.0","0.0",tier1,"-0.10"
"/C=LT/O=Skaitmeninio sertifikavimo centras/OU=Certification Authority/CN=SSC Root CA A",15,"0.0","0.0",tier1,"-0.10"
"/C=LT/O=VI Registru Centras - I.k. 124110246/OU=Registru Centro Sertifikavimo Centras/CN=VI Registru Centras RCSC (RootCA)",25,"0.0","0.0",tier1,"-0.10"
"/C=LT/OU=RCSC/O=VI Registru centras- i.k. 124110246/CN=RCSC RootCA",2,"0.0","0.0",tier1,"-0.10"
"/C=LU/O=LuxTrust S.A./CN=LuxTrust Global Root 2",29,"0.0","0.0",tier1,"-0.10"
"/C=LU/O=LuxTrust s.a./CN=LuxTrust Global Root",56,"0.0","0.0",tier1,"-0.10"
"/C=LV/O=VAS Latvijas Pasts - Vien.reg.Nr.40003052790/OU=Sertifikacijas pakalpojumi/CN=VAS Latvijas Pasts SSI(RCA)",9,"0.0","0.0",tier1,"-0.10"
"/C=LV/OU=Sertifikacijas pakalpojumu dala/CN=E-ME SSI (RCA)",57,"0.0","0.0",tier1,"-0.10"
"/C=MO/O=Macao Post/CN=Macao Post eSignTrust Root Certification Authority",2,"0.0","0.0",tier1,"-0.10"
"/C=MO/O=Macao Post/CN=Macao Post eSignTrust Root Certification Authority (G02)",7,"0.0","0.0",tier1,"-0.10"
"/C=MY/O=Digicert Sdn. Bhd./CN=PosDigicert Class 2 Root CA G2",3,"0.0","0.0",tier1,"-0.10"
"/C=NL/O=Digidentity B.V./CN=Digidentity L3 Root CA - G2",9,"0.0","0.0",tier1,"-0.10"
"/C=NL/O=Staat der Nederlanden/CN=Staat der Nederlanden Root CA",25,"0.0","0.0",tier1,"-0.10"
"/C=NO/O=Buypass AS-983163327/CN=Buypass Class 2 CA 1",15,"0.0","0.0",tier1,"-0.10"
"/C=NO/O=Buypass AS-983163327/CN=Buypass Class 3 CA 1",17,"0.0","0.0",tier1,"-0.10"
"/C=PA/ST=Panama/L=Panama City/O=TrustCor Systems S. de R.L./OU=TrustCor Certificate Authority/CN=TrustCor ECA-1",13,"0.0","0.0",tier1,"-0.10"
"/C=PA/ST=Panama/L=Panama City/O=TrustCor Systems S. de R.L./OU=TrustCor Certificate Authority/CN=TrustCor RootCert CA-2",36,"0.0","0.0",tier1,"-0.10"
"/C=PL/O=Asseco Data Systems S.A./OU=Certum Certification Authority/CN=Certum EC-384 CA",4,"0.0","0.0",tier1,"-0.10"
"/C=PL/O=Asseco Data Systems S.A./OU=Certum Certification Authority/CN=Certum Trusted Root CA",4,"0.0","0.0",tier1,"-0.10"
"/C=PL/O=Krajowa Izba Rozliczeniowa S.A./CN=SZAFIR ROOT CA",34,"0.0","0.0",tier1,"-0.10"
"/C=PL/O=Telekomunikacja Polska S.A./OU=Signet Certification Authority/CN=Signet Root CA",105,"0.0","0.0",tier1,"-0.10"
"/C=PL/O=Unizeto Technologies S.A./OU=Certum Certification Authority/CN=Certum Trusted Network CA 2",20,"0.0","0.0",tier1,"-0.10"
"/C=PT/O=MULTICERT - Servi\xC3\xA7os de Certifica\xC3\xA7\xC3\xA3o Electr\xC3\xB3nica S.A./CN=MULTICERT Root Certification Authority 01",23,"0.0","0.0",tier1,"-0.10"
"/C=PT/O=SCEE/CN=ECRaizEstado",14,"0.0","0.0",tier1,"-0.10"
"/C=RO/O=CERTSIGN SA/OU=certSIGN ROOT CA G2",38,"0.0","0.0",tier1,"-0.10"
"/C=SA/O=National Center for Digital Certification/OU=Saudi National Root CA",26,"0.0","0.0",tier1,"-0.10"
"/C=SE/O=AddTrust AB/OU=AddTrust TTP Network/CN=AddTrust Class 1 CA Root",8,"0.0","0.0",tier1,"-0.10"
"/C=SE/O=AddTrust AB/OU=AddTrust TTP Network/CN=AddTrust Public CA Root",2,"0.0","0.0",tier1,"-0.10"
"/C=SE/O=AddTrust AB/OU=AddTrust TTP Network/CN=AddTrust Qualified CA Root",6,"0.0","0.0",tier1,"-0.10"
"/C=SE/O=Carelink/CN=SITHS CA v3",19,"0.0","0.0",tier1,"-0.10"
"/C=SE/O=Swedish Social Insurance Agency/CN=Swedish Government Root Authority v1",14,"0.0","0.0",tier1,"-0.10"
"/C=SE/O=Swedish Social Insurance Agency/CN=Swedish Government Root Authority v3",66,"0.0","0.0",tier1,"-0.10"
"/C=SG/O=Netrust Certificate Authority 1/OU=Netrust CA1",35,"0.0","0.0",tier1,"-0.10"
"/C=SI/O=ACNLB",17,"0.0","0.0",tier1,"-0.10"
"/C=SI/O=Halcom d.d./organizationIdentifier=VATSI-43353126/CN=Halcom Root Certificate Authority",1,"0.0","0.0",tier1,"-0.10"
"/C=SI/O=Halcom/CN=Halcom CA PO 2",28,"0.0","0.0",tier1,"-0.10"
"/C=SI/O=Halcom/CN=Halcom Root CA",33,"0.0","0.0",tier1,"-0.10"
"/C=SI/O=POSTA/OU=POSTArCA",71,"0.0","0.0",tier1,"-0.10"
"/C=SI/O=Republika Slovenija/organizationIdentifier=VATSI-17659957/CN=SI-TRUST Root",48,"0.0","0.0",tier1,"-0.10"
"/C=SK/L=Bratislava/O=Disig a.s./CN=CA Disig",20,"0.0","0.0",tier1,"-0.10"
"/C=SK/L=Bratislava/O=Disig a.s./CN=CA Disig Root R1",6,"0.0","0.0",tier1,"-0.10"
"/C=TH/O=Electronic Transactions Development Agency (Public Organization)/OU=Thailand National Root Certification Authority/CN=Thailand National Root Certification Authority - G1",8,"0.0","0.0",tier1,"-0.10"
"/C=TN/CN=Tunisian Root Certificate Authority - TunRootCA2/O=National Digital Certification Agency",283,"0.0","0.0",tier1,"-0.10"
"/C=TN/O=ANCE/OU=ANCE WEB/CN=Agence Nationale de Certification Electronique/emailAddress=ance@certification.tn",20,"0.0","0.0",tier1,"-0.10"
"/C=TN/O=Agence Nationale de Certification Electronique/CN=TunTrust Root CA",208,"0.0","0.0",tier1,"-0.10"
"/C=TR/L=Ankara/O=E-Tugra EBG A.S./OU=E-Tugra Trust Center/CN=E-Tugra Global Root CA ECC v3",4,"0.0","0.0",tier1,"-0.10"
"/C=TR/L=Ankara/O=E-Tugra EBG A.S./OU=E-Tugra Trust Center/CN=E-Tugra Global Root CA RSA v3",4,"0.0","0.0",tier1,"-0.10"
"/C=TR/L=Ankara/O=T\xC3\x9CRKTRUST Bilgi \xC4\xB0leti\xC5\x9Fim ve Bili\xC5\x9Fim G\xC3\xBCvenli\xC4\x9Fi Hizmetleri A.\xC5\x9E./CN=T\xC3\x9CRKTRUST Elektronik Sertifika Hizmet Sa\xC4\x9Flay\xC4\xB1c\xC4\xB1s\xC4\xB1 H5",23,"0.0","0.0",tier1,"-0.10"
"/C=TR/L=Ankara/O=T\xC3\x9CRKTRUST Bilgi \xC4\xB0leti\xC5\x9Fim ve Bili\xC5\x9Fim G\xC3\xBCvenli\xC4\x9Fi Hizmetleri A.\xC5\x9E./CN=T\xC3\x9CRKTRUST Elektronik Sertifika Hizmet Sa\xC4\x9Flay\xC4\xB1c\xC4\xB1s\xC4\xB1 H6",8,"0.0","0.0",tier1,"-0.10"
"/C=TR/L=Gebze - Kocaeli/O=T\xC3\xBCrkiye Bilimsel ve Teknolojik Ara\xC5\x9Ft\xC4\xB1rma Kurumu - T\xC3\x9CB\xC4\xB0TAK/OU=Ulusal Elektronik ve Kriptoloji Ara\xC5\x9Ft\xC4\xB1rma Enstit\xC3\xBCs\xC3\xBC - UEKAE/OU=Kamu Sertifikasyon Merkezi/CN=T\xC3\x9CB\xC4\xB0TAK UEKAE K\xC3\xB6k Sertifika Hizmet Sa\xC4\x9Flay\xC4\xB1c\xC4\xB1s\xC4\xB1 - S\xC3\xBCr\xC3\xBCm 3",89,"0.0","0.0",tier1,"-0.10"
"/C=TR/O=Elektronik Bilgi Guvenligi A.S./CN=E-GUVEN Kok Elektronik Sertifika Hizmet Saglayicisi S2",12,"0.0","0.0",tier1,"-0.10"
"/C=TR/O=Elektronik Bilgi Guvenligi A.S./CN=E-GUVEN Kok Elektronik Sertifika Hizmet Saglayicisi S3",16,"0.0","0.0",tier1,"-0.10"
"/C=TR/O=Elektronik Bilgi Guvenligi A.S./CN=e-Guven Kok Elektronik Sertifika Hizmet Saglayicisi",25,"0.0","0.0",tier1,"-0.10"
"/C=TW/O=Chunghwa Telecom Co., Ltd./CN=ePKI EV SSL Certification Authority - G1",1,"0.0","0.0",tier1,"-0.10"
"/C=TW/O=Chunghwa Telecom Co., Ltd./CN=ePKI Root Certification Authority - G2",679,"0.0","0.0",tier1,"-0.10"
"/C=US/O=AffirmTrust/CN=AffirmTrust Networking",39,"0.0","0.0",tier1,"-0.10"
"/C=US/O=AffirmTrust/CN=AffirmTrust Premium",19,"0.0","0.0",tier1,"-0.10"
"/C=US/O=AffirmTrust/CN=AffirmTrust Premium ECC",17,"0.0","0.0",tier1,"-0.10"
"/C=US/O=Amazon/CN=Amazon Root CA 2",8,"0.0","0.0",tier1,"-0.10"
"/C=US/O=Amazon/CN=Amazon Root CA 3",8,"0.0","0.0",tier1,"-0.10"
"/C=US/O=Amazon/CN=Amazon Root CA 4",8,"0.0","0.0",tier1,"-0.10"
